window_size,horizon,buy_threshold,classifier,n_estimators,max_depth,min_precision,threshold,met_precision_req,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
40,9,0.03,xgboost,400,4,0.58,0.7158306241035461,False,0.7150966497235929,0.3413033286451008,0.049587902731421565,0.08659450457951708,0.5319934025886139,0.2943731309287072,0.3413033286451008,728,1405,269526,65290,24.224008073432618
30,9,0.03,random_forest,400,4,0.58,0.5469187325022706,False,0.7184138794754678,0.3493112947658402,0.043006376339709676,0.0765839222081295,0.5305618197782496,0.29246561399586923,0.3493112947658402,634,1181,271476,65482,24.120732587779397
40,9,0.03,xgboost,800,4,0.58,0.7388825416564941,False,0.7162839016065002,0.32809871003925967,0.039847421837749475,0.07106413994169096,0.5298786293891737,0.2909046600899272,0.32809871003925967,585,1198,269526,65290,24.224008073432618
30,9,0.03,xgboost,400,4,0.58,0.7242154479026794,False,0.7181191984676588,0.3347034644744568,0.03866503866503866,0.06932198236546062,0.5344209390407837,0.29504573355424263,0.3347034644744568,570,1133,271476,65482,24.120732587779397
30,9,0.03,random_forest,100,4,0.58,0.5583471640213272,False,0.7236628849270664,0.3469626168224299,0.020146520146520148,0.0380818053596615,0.5297129581799485,0.2917508970171934,0.3469626168224299,297,559,271476,65482,24.120732587779397
30,9,0.03,random_forest,800,4,0.58,0.5687205513937935,False,0.7264807720642404,0.3506849315068493,0.008682675349342016,0.016945786721387437,0.5304625392142879,0.29241119978323304,0.3506849315068493,128,237,271476,65482,24.120732587779397
40,9,0.03,xgboost,100,4,0.58,0.7345802187919617,False,0.7268764144993136,0.37790697674418605,0.0044274913153054965,0.008752440584393725,0.5368385094195056,0.29752750218345825,0.37790697674418605,65,107,269526,65290,24.224008073432618
40,9,0.015,xgboost,100,4,0.58,0.8255070447921753,True,0.6260713093162171,0.5858585858585859,0.0028749876078120354,0.005721896117989444,0.5281138980587846,0.3963485738325883,0.5858585858585859,58,41,269526,95933,35.59322662748677
15,3,0.03,xgboost,800,4,0.58,0.6985403299331665,False,0.838283527696793,0.35,0.0023710059839674833,0.004710104295166536,0.5386627869015848,0.18152886090461084,0.35,21,39,274400,36514,13.306851311953352
15,9,0.015,random_forest,800,4,0.58,0.5413158518212194,True,0.6285349854227406,0.5866666666666667,0.0021569684788470024,0.004298134219009476,0.527244691626437,0.39737707082155516,0.5866666666666667,44,31,274400,96906,35.315597667638485
40,9,0.03,random_forest,800,4,0.58,0.5575124265889276,True,0.7277854042221645,0.5945945945945946,0.001498535522103399,0.0029895366218236174,0.5324363566302686,0.2950865581473168,0.5945945945945946,22,15,269526,65290,24.224008073432618
15,3,0.03,xgboost,400,4,0.58,0.6906715035438538,False,0.8385021865889213,0.4,0.0013548605622671333,0.002700573871947789,0.5431727600224904,0.1834892977134948,0.4,12,18,274400,36514,13.306851311953352
40,9,0.03,random_forest,400,4,0.58,0.5575366687891282,False,0.7277483026008237,0.5757575757575758,0.001294189769089299,0.0025825744189207555,0.5319403786209453,0.29448065134957324,0.5757575757575758,19,14,269526,65290,24.224008073432618
30,3,0.03,random_forest,800,4,0.58,0.5949334080492115,False,0.8381832915868572,0.4782608695652174,0.0012521343198634036,0.002497729336966394,0.5517993829807943,0.18940693327624836,0.4782608695652174,11,12,271476,36232,13.346299488720916
15,9,0.015,random_forest,400,4,0.58,0.5434513770795673,True,0.6284256559766764,0.5813953488372093,0.0012255502720721603,0.002445944623813717,0.5271335891907634,0.39722678102873926,0.5813953488372093,25,18,274400,96906,35.315597667638485
40,3,0.03,xgboost,100,4,0.58,0.7017411589622498,True,0.8378844655511446,0.6,0.001029512697323267,0.0020554984583761563,0.5645187605866242,0.19450889077215025,0.6,9,6,269526,36087,13.389060795618976
40,3,0.03,xgboost,400,4,0.58,0.7601734399795532,True,0.8378844655511446,0.6,0.001029512697323267,0.0020554984583761563,0.5571872184629408,0.1897492789613775,0.6,9,6,269526,36087,13.389060795618976
15,3,0.015,random_forest,800,4,0.58,0.54400575106677,True,0.7139577259475218,0.5925925925925926,0.0010189135833917086,0.00203432930705658,0.5329323797718846,0.30991336781297324,0.5925925925925926,16,11,274400,70144,25.562682215743436
40,9,0.015,random_forest,400,4,0.58,0.5517570793982525,True,0.6258858012095129,0.6129032258064516,0.0009418062853177357,0.001880722593417471,0.5199209704340176,0.3916258246166474,0.6129032258064516,19,12,269526,95933,35.59322662748677
40,3,0.015,xgboost,800,4,0.58,0.8417788147926331,False,0.7127592475791192,0.5384615384615384,0.0009040423608420509,0.0018050541516245488,0.5314329921879365,0.30865837953021086,0.5384615384615384,14,12,269526,69261,25.69733532200975
