window_size,horizon,buy_threshold,classifier,n_estimators,max_depth,min_precision,min_recall,threshold,met_constraints,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
30,9,0.005,random_forest,100,12,0.48,0.05,0.5073320258827603,True,0.5429866283765593,0.4800124656486387,0.31027441788065524,0.3769152480159282,0.5384179273048557,0.4772829038802674,0.4800124656486387,33886,36708,1225726,553198,45.13227262862989
30,9,0.005,random_forest,100,12,0.48,0.1,0.5073320258827604,True,0.5429866283765593,0.4800124656486387,0.31027441788065524,0.3769152480159282,0.5384179273048557,0.4772829038802674,0.4800124656486387,33886,36708,1225726,553198,45.13227262862989
30,9,0.005,random_forest,200,12,0.48,0.1,0.5070586352600447,True,0.5429825491747775,0.48000340005950104,0.31023779220422476,0.37688542825361515,0.5390126167638198,0.47808458054813074,0.48000340005950104,33882,36705,1225726,553198,45.13227262862989
30,9,0.005,random_forest,200,12,0.48,0.05,0.5070586352600448,True,0.5429825491747775,0.48000340005950104,0.31023779220422476,0.37688542825361515,0.5390126167638198,0.47808458054813074,0.48000340005950104,33882,36705,1225726,553198,45.13227262862989
30,9,0.005,random_forest,200,8,0.48,0.05,0.506215411485134,True,0.5434965285992837,0.4800077093000845,0.2964573814472636,0.3665376081148395,0.5354826110431794,0.4751983483571648,0.4800077093000845,32377,35074,1225726,553198,45.13227262862989
30,9,0.005,random_forest,200,8,0.48,0.1,0.506215411485134,True,0.5434965285992837,0.4800077093000845,0.2964573814472636,0.3665376081148395,0.5354826110431794,0.4751983483571648,0.4800077093000845,32377,35074,1225726,553198,45.13227262862989
30,9,0.005,random_forest,100,8,0.48,0.1,0.5064491469762985,True,0.5435985086438285,0.48000059878446755,0.2936005786856876,0.3643439479589808,0.5351337119215072,0.47484912609781954,0.48000059878446755,32065,34737,1225726,553198,45.13227262862989
30,9,0.005,random_forest,100,8,0.48,0.05,0.5064491469762986,True,0.5435985086438285,0.48000059878446755,0.2936005786856876,0.3643439479589808,0.5351337119215072,0.47484912609781954,0.48000059878446755,32065,34737,1225726,553198,45.13227262862989
21,9,0.005,random_forest,200,12,0.48,0.05,0.5092051851397568,True,0.5455253012927312,0.48007501172058137,0.2803866268722105,0.3540128951962801,0.5355147703911607,0.47362952331054664,0.48007501172058137,30720,33270,1233432,554941,44.991616886865266
21,9,0.005,random_forest,200,12,0.48,0.1,0.5092051851397568,True,0.5455253012927312,0.48007501172058137,0.2803866268722105,0.3540128951962801,0.5355147703911607,0.47362952331054664,0.48007501172058137,30720,33270,1233432,554941,44.991616886865266
