window_size,horizon,take_profit,stop_loss,classifier,n_estimators,max_depth,min_precision,min_recall,threshold,met_constraints,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
21,9,0.01,0.008,xgboost,200,8,0.48,0.05,0.7945282459259033,True,0.5663462743950854,0.48001433031373153,0.46958864055114957,0.47474425361537564,0.5836292136543431,0.4836323903595981,0.48001433031373153,46895,50800,1196448,507107,42.384374414934875
21,9,0.01,0.008,xgboost,200,12,0.48,0.05,0.7743308544158936,True,0.5671987964394668,0.4800461510259977,0.44579628294480494,0.46228771099100224,0.5813391059358408,0.48328927511769804,0.4800461510259977,44519,48220,1196448,507107,42.384374414934875
21,9,0.01,0.008,random_forest,200,12,0.48,0.05,0.5301604462954793,True,0.5715533453132182,0.48001683425771446,0.31979492109268604,0.38385768803149134,0.5741802687094036,0.472861954423558,0.48001683425771446,31936,34595,1196448,507107,42.384374414934875
21,9,0.01,0.008,random_forest,200,8,0.48,0.05,0.5326269080898407,True,0.5767395210832045,0.4800067678077943,0.17045181446767604,0.2515702821335146,0.5679211702899087,0.46546880980445265,0.4800067678077943,17022,18440,1196448,507107,42.384374414934875
21,9,0.008,0.005,xgboost,200,8,0.48,0.05,0.8003979921340942,True,0.6247565715240921,0.48000828672053036,0.13042205635673837,0.20511322391600714,0.5855484019006477,0.43812876117514954,0.48000828672053036,11585,12550,1196448,452568,37.82596485597368
21,9,0.008,0.005,xgboost,200,12,0.48,0.05,0.8051462173461914,True,0.6255380500647749,0.4800020563438207,0.10511443592601348,0.1724618808817961,0.5794159201828883,0.4350371192948194,0.4800020563438207,9337,10115,1196448,452568,37.82596485597368
21,9,0.01,0.005,xgboost,200,12,0.48,0.05,0.7959328889846802,True,0.6505579004555142,0.48007261325191847,0.0699825584892043,0.1221575996808533,0.5765074089614959,0.4102715495721104,0.48007261325191847,5818,6301,1196448,422750,35.33375458022413
21,9,0.01,0.005,xgboost,200,8,0.48,0.05,0.7958148717880249,True,0.6510844581888086,0.48012028065486134,0.05185541588981776,0.09360140695225481,0.5797966651906232,0.408808181298828,0.48012028065486134,4311,4668,1196448,422750,35.33375458022413
21,9,0.008,0.005,random_forest,200,12,0.48,0.05,0.5528222626488196,True,0.6272347360942789,0.48003434950622587,0.050345052742972296,0.09113232731830084,0.5760524094091075,0.42688224531839564,0.48003434950622587,4472,4844,1196448,452568,37.82596485597368
21,9,0.01,0.005,random_forest,200,12,0.48,0.05,0.546528854600362,False,0.6519035479961552,0.4800198560436833,0.023263366813014975,0.04437611858106558,0.5696843719521193,0.39753039637064297,0.4800198560436833,1934,2095,1196448,422750,35.33375458022413
21,9,0.01,0.005,random_forest,200,8,0.48,0.05,0.5395955670212444,False,0.6522754816331647,0.48032786885245904,0.010573164130630901,0.020690872712293296,0.5634497064815035,0.3908791503644439,0.48032786885245904,879,951,1196448,422750,35.33375458022413
21,9,0.008,0.005,random_forest,200,8,0.48,0.05,0.5504421352308105,False,0.6285260562497388,0.4803738317757009,0.008679793306089366,0.01705148619957537,0.5701103441010115,0.41846854882607126,0.4803738317757009,771,834,1196448,452568,37.82596485597368
