window_size,horizon,sell_threshold,classifier,n_estimators,max_depth,min_precision,threshold,met_precision_req,accuracy,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,total_samples,sell_samples,sell_pct
10,12,0.02,xgboost,100,15,0.5,0.13747821748256683,False,0.30805128205128207,0.29873674403310224,0.9958437240232751,0.45960080353623395,0.5284197351123872,0.31223588059826024,109018,255912,1852497,561956,30.335055873234886
10,12,0.02,xgboost,100,15,0.45,0.13747821748256683,False,0.30805128205128207,0.29873674403310224,0.9958437240232751,0.45960080353623395,0.5284197351123872,0.31223588059826024,109018,255912,1852497,561956,30.335055873234886
10,6,0.015,xgboost,200,10,0.45,0.18690626323223114,False,0.30289608636977056,0.29197645856344484,0.9944878573768191,0.45141872818913825,0.5290467020338299,0.30550388375311094,106266,257688,1852497,548533,29.6104663057484
10,6,0.015,xgboost,200,10,0.5,0.18690626323223114,False,0.30289608636977056,0.29197645856344484,0.9944878573768191,0.45141872818913825,0.5290467020338299,0.30550388375311094,106266,257688,1852497,548533,29.6104663057484
10,9,0.015,xgboost,200,5,0.45,0.25116947293281555,False,0.3304021592442645,0.31931850694368025,0.9943374567385121,0.4833995518795239,0.5367069583570591,0.338805310121963,116071,247425,1852497,598190,32.29101045777672
10,9,0.015,xgboost,200,5,0.5,0.25116947293281555,False,0.3304021592442645,0.31931850694368025,0.9943374567385121,0.4833995518795239,0.5367069583570591,0.338805310121963,116071,247425,1852497,598190,32.29101045777672
10,12,0.02,xgboost,200,5,0.45,0.2339494675397873,False,0.31083940620782724,0.29938078877222324,0.9941538096151562,0.4601818181818182,0.5380781664129426,0.3198821956975944,108833,254694,1852497,561956,30.335055873234886
10,12,0.02,xgboost,200,5,0.5,0.2339494675397873,False,0.31083940620782724,0.29938078877222324,0.9941538096151562,0.4601818181818182,0.5380781664129426,0.3198821956975944,108833,254694,1852497,561956,30.335055873234886
20,12,0.015,xgboost,200,10,0.5,0.2022002786397934,False,0.34750113467428734,0.33593739159393343,0.993434550677062,0.5020894469964847,0.5463879468619443,0.36123052552189383,121050,239285,1839733,624545,33.94758913385801
20,12,0.015,xgboost,200,10,0.45,0.2022002786397934,False,0.34750113467428734,0.33593739159393343,0.993434550677062,0.5020894469964847,0.5463879468619443,0.36123052552189383,121050,239285,1839733,624545,33.94758913385801
10,6,0.02,xgboost,200,15,0.5,0.0865987166762352,False,0.2580134952766532,0.24624021411475694,0.9933489264058707,0.3946508473381954,0.5212493925761502,0.25486521971467435,89611,274306,1852497,463746,25.03356280738916
10,6,0.02,xgboost,200,15,0.45,0.0865987166762352,False,0.2580134952766532,0.24624021411475694,0.9933489264058707,0.3946508473381954,0.5212493925761502,0.25486521971467435,89611,274306,1852497,463746,25.03356280738916
