No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS This Y,EPS Next Y,EPS Past 5Y,EPS Next 5Y,Sales Past 5Y,Price,Change,Volume,Scraped_At
1,ORCL,556.98B,36.43,24.38,1.15,9.13,18.60,28.18,-,21.51%,8.52%,7.13%,21.16%,8.00%,193.86,7.68%,33822684,2025-12-19 09:53:58
2,INFY,84.62B,25.86,24.08,3.71,4.29,7.25,16.91,19.86,5.10%,6.78%,6.77%,6.49%,8.53%,20.37,6.19%,80374896,2025-12-19 09:53:58
3,CRWV,40.35B,-,-,-,9.37,10.39,15.89,-,-400.37%,79.31%,-,-,-,80.96,19.63%,35768270,2025-12-19 09:53:58
4,CCL,39.96B,15.96,10.97,0.84,1.52,3.37,22.67,13.71,8.69%,14.28%,-19.76%,13.13%,3.74%,30.65,8.14%,42772520,2025-12-19 09:53:58
5,HEI,39.34B,66.51,54.11,6.15,8.77,10.36,180.62,45.67,8.69%,13.07%,16.46%,8.80%,20.21%,325.82,5.54%,404065,2025-12-19 09:53:58
6,RKLB,37.37B,-,-,-,67.40,27.10,38.26,-,0.08%,52.50%,14.01%,-,87.68%,69.97,16.77%,26366997,2025-12-19 09:53:58
7,WIT,32.10B,20.47,20.17,6.86,3.08,3.42,5.57,16.40,-1.75%,5.48%,4.81%,2.94%,4.13%,3.07,7.17%,26578106,2025-12-19 09:53:58
8,RIVN,27.51B,-,-,-,4.71,5.43,3.88,-,31.07%,5.02%,-58.18%,19.52%,-,22.43,10.63%,57487246,2025-12-19 09:53:58
9,MDGL,13.34B,-,331.83,-,18.01,21.31,11.96,-,50.62%,116.36%,-32.06%,-,-,587.23,7.87%,389150,2025-12-19 09:53:58
10,BMRN,11.88B,23.17,13.63,0.41,3.85,1.96,8.04,14.28,27.44%,61.12%,-,33.03%,10.98%,61.83,19.03%,9181978,2025-12-19 09:53:58
11,DJT,4.51B,-,-,-,1225.95,1.98,4.29,-,-,-,-,-,-,16.11,8.43%,48350055,2025-12-19 09:53:58
12,CUK,4.45B,15.91,10.92,0.83,0.17,3.36,2.52,1.53,8.84%,14.24%,-19.76%,13.13%,3.74%,30.56,16.11%,7103181,2025-12-19 09:53:58
13,FOLD,4.38B,-,52.80,-,7.31,18.98,16.58,451.50,89.68%,1546.18%,34.10%,-,23.72%,14.18,30.21%,138929093,2025-12-19 09:53:58
14,MIRM,4.03B,-,-,-,8.54,13.70,10.73,90.90,80.16%,12.32%,4.14%,-,-,77.95,10.91%,873884,2025-12-19 09:53:58
15,EWTX,2.57B,-,-,-,-,4.60,4.56,-,-10.06%,-21.74%,-49.00%,-11.58%,-,24.29,14.85%,1339597,2025-12-19 09:53:58
16,LUNR,2.55B,-,-,-,11.58,-,4.08,-,91.96%,69.70%,-239.86%,-,50.66%,14.13,30.23%,27242397,2025-12-19 09:53:58
17,IMNM,1.97B,-,-,-,203.07,7.45,7.21,-,55.61%,-16.61%,-38.15%,22.95%,-,21.43,7.44%,2321253,2025-12-19 09:53:58
18,ABTC,1.56B,-,42.00,-,21.95,2.25,195.28,-,96.47%,144.44%,-14.17%,-,10.31%,1.68,5.66%,8442498,2025-12-19 09:53:58
19,TYRA,1.33B,-,-,-,-,4.73,4.83,-,-30.88%,-11.57%,-73.69%,-14.56%,-,24.88,8.22%,433801,2025-12-19 09:53:58
20,RDW,1.30B,-,-,-,4.37,1.30,23.85,-,28.17%,79.44%,-53.57%,52.62%,51.69%,7.84,11.75%,15416263,2025-12-19 09:53:58
21,STAA,1.26B,-,114.21,3.93,5.48,3.54,6.56,-,-330.34%,144.96%,-,29.03%,15.89%,25.41,5.79%,1633660,2025-12-19 09:53:58
22,WGO,1.25B,48.48,14.39,0.51,0.45,1.01,7.18,13.95,41.86%,29.81%,-13.14%,27.97%,3.50%,44.26,9.74%,704451,2025-12-19 09:53:58
23,OCS,1.22B,-,-,-,-,6.79,6.67,-,15.21%,1.83%,-,4.49%,-,21.28,9.24%,180195,2025-12-19 09:53:58
24,VLRS,1.10B,-,46.42,-,0.37,4.20,1.39,-,-171.90%,126.65%,-4.48%,-21.91%,11.58%,9.6,15.44%,1750836,2025-12-19 09:53:58
25,AVO,987.61M,26.39,-,-,0.71,1.68,14.85,26.55,-,-,5.30%,-,10.04%,13.98,6.51%,1405545,2025-12-19 09:53:58
